1, 440, 51
1, 440, 93
0, 420, 92
1, 440, 64
1, 440, 59
1, 440, 49
1, 440, 65
1, 440, 49
1, 440, 49
1, 440, 75
1, 440, 63
1, 440, 83
0, 420, 65
1, 440, 55
1, 440, 57
1, 440, 49
1, 440, 99
1, 440, 50
1, 440, 72
1, 440, 94
1, 440, 50
1, 440, 49
1, 440, 54
1, 440, 66
0, 370, 51
1, 440, 49
1, 440, 78
1, 440, 119
1, 440, 49
0, 370, 67
1, 440, 49
1, 440, 78
0, 410, 63
1, 440, 53
1, 440, 74
1, 440, 76
1, 440, 49
1, 440, 59
0, 430, 53
0, 190, 25
1, 440, 58
0, 400, 51
1, 440, 49
1, 440, 49
0, 350, 59
1, 440, 117
1, 440, 65
1, 440, 52
1, 440, 76
1, 440, 55
1, 440, 49
1, 440, 52
0, 420, 66
1, 440, 67
0, 350, 40
0, 420, 46
1, 440, 49
1, 440, 52
1, 440, 69
1, 440, 66
1, 440, 70
0, 320, 41
1, 440, 64
1, 440, 59
0, 400, 83
0, 350, 64
1, 440, 66
1, 440, 65
1, 440, 100
1, 440, 55
1, 440, 64
0, 200, 22
1, 440, 51
1, 440, 80
1, 440, 72
1, 440, 52
0, 420, 47
1, 440, 49
1, 440, 54
1, 440, 52
1, 440, 69
0, 430, 59
0, 200, 22
1, 440, 58
1, 440, 62
1, 440, 54
1, 440, 81
1, 440, 72
1, 440, 60
1, 440, 51
0, 290, 45
0, 420, 74
1, 440, 50
1, 440, 63
1, 440, 57
1, 440, 49
1, 440, 49
0, 320, 48
1, 440, 49
1, 440, 72
1, 440, 59
1, 440, 51
0, 430, 56
0, 380, 49
1, 440, 95
0, 380, 52
1, 440, 49
0, 380, 53
1, 440, 49
0, 420, 70
1, 440, 50
1, 440, 49
0, 390, 56
0, 420, 48
1, 440, 49
1, 440, 57
1, 440, 53
1, 440, 60
1, 440, 56
0, 80, 11
1, 440, 50
1, 440, 57
1, 440, 58
1, 440, 58
1, 440, 96
1, 440, 50
1, 440, 50
1, 440, 49
0, 270, 35
0, 320, 36
1, 440, 55
0, 310, 50
1, 440, 59
1, 440, 66
1, 440, 52
1, 440, 49
1, 440, 71
1, 440, 55
1, 440, 70
1, 440, 87
1, 440, 71
1, 440, 49
0, 430, 186
1, 440, 55
1, 440, 64
1, 440, 80
1, 440, 51
1, 440, 96
1, 440, 50
1, 440, 49
1, 440, 58
0, 320, 37
1, 440, 72
0, 350, 38
1, 440, 53
1, 440, 53
1, 440, 49
1, 440, 49
1, 440, 74
1, 440, 99
1, 440, 75
1, 440, 49
1, 440, 70
1, 440, 52
1, 440, 67
1, 440, 52
